id;date;jour_semaine;num_jour_semaine;semaine_annee;mois;mois_label;annee;saison;cash;cb;ticket_resto;uber;ca_total;is_weekend;is_ferie;ca_lag7;ca_lag14;ca_moy_7j;ca_moy_30j
1;01/01/2024;Monday;1;1;1;janvier;2024;hiver;164.0;348.0;0.0;36.0;548;0;0;;;;
2;02/01/2024;Tuesday;2;1;1;janvier;2024;hiver;141.0;296.0;0.0;33.0;470;0;0;;;;
3;03/01/2024;Wednesday;3;1;1;janvier;2024;hiver;174.0;342.0;0.0;24.0;540;0;0;;;;
4;04/01/2024;Thursday;4;1;1;janvier;2024;hiver;183.0;352.0;1.0;39.0;575;0;0;;;;
5;05/01/2024;Friday;5;1;1;janvier;2024;hiver;238.0;462.0;0.0;39.0;739;0;0;;;;
6;06/01/2024;Saturday;6;1;1;janvier;2024;hiver;296.0;485.0;29.0;18.0;828;1;0;;;;
7;07/01/2024;Sunday;7;1;1;janvier;2024;hiver;233.0;405.0;0.0;28.0;666;1;0;;;624.0;
8;08/01/2024;Monday;1;2;1;janvier;2024;hiver;76.0;139.0;0.0;15.0;230;0;0;548.0;;578.0;
9;09/01/2024;Tuesday;2;2;1;janvier;2024;hiver;99.0;203.0;1.0;17.0;320;0;0;470.0;;557.0;
10;10/01/2024;Wednesday;3;2;1;janvier;2024;hiver;189.0;371.0;18.0;37.0;615;0;0;540.0;;568.0;
11;11/01/2024;Thursday;4;2;1;janvier;2024;hiver;149.0;296.0;0.0;23.0;468;0;0;575.0;;552.0;
12;12/01/2024;Friday;5;2;1;janvier;2024;hiver;162.0;303.0;12.0;23.0;500;0;0;739.0;;518.0;
13;13/01/2024;Saturday;6;2;1;janvier;2024;hiver;241.0;394.0;27.0;18.0;680;1;0;828.0;;497.0;
14;14/01/2024;Sunday;7;2;1;janvier;2024;hiver;197.0;334.0;4.0;25.0;560;1;0;666.0;;482.0;
15;15/01/2024;Monday;1;3;1;janvier;2024;hiver;138.0;283.0;0.0;29.0;450;0;0;230.0;548.0;513.0;
16;16/01/2024;Tuesday;2;3;1;janvier;2024;hiver;152.0;305.0;0.0;23.0;480;0;0;320.0;470.0;536.0;
17;17/01/2024;Wednesday;3;3;1;janvier;2024;hiver;130.0;267.0;8.0;20.0;425;0;0;615.0;540.0;509.0;
18;18/01/2024;Thursday;4;3;1;janvier;2024;hiver;187.0;319.0;11.0;33.0;550;0;0;468.0;575.0;521.0;
