date;cash;card;ticket_resto;uber;total
01/01/2024;164.0;348.0;0.0;36.0;548
02/01/2024;141.0;296.0;0.0;33.0;470
03/01/2024;174.0;342.0;0.0;24.0;540
04/01/2024;183.0;352.0;1.0;39.0;575
05/01/2024;238.0;462.0;0.0;39.0;739
06/01/2024;296.0;485.0;29.0;18.0;828
07/01/2024;233.0;405.0;0.0;28.0;666
08/01/2024;76.0;139.0;0.0;15.0;230
09/01/2024;99.0;203.0;1.0;17.0;320
10/01/2024;189.0;371.0;18.0;37.0;615
11/01/2024;149.0;296.0;0.0;23.0;468
12/01/2024;162.0;303.0;12.0;23.0;500
13/01/2024;241.0;394.0;27.0;18.0;680
14/01/2024;197.0;334.0;4.0;25.0;560
15/01/2024;138.0;283.0;0.0;29.0;450
16/01/2024;152.0;305.0;0.0;23.0;480
17/01/2024;130.0;267.0;8.0;20.0;425
18/01/2024;187.0;319.0;11.0;33.0;550
19/01/2024;197.0;390.0;0.0;33.0;620
20/01/2024;197.0;357.0;17.0;14.0;585
21/01/2024;219.0;370.0;8.0;23.0;620
22/01/2024;110.0;225.0;0.0;20.0;355
23/01/2024;165.0;325.0;14.0;21.0;525
24/01/2024;146.0;287.0;12.0;25.0;470
25/01/2024;146.0;301.0;3.0;20.0;470
26/01/2024;195.0;372.0;16.0;37.0;620
27/01/2024;212.0;339.0;1.0;23.0;575
28/01/2024;211.0;330.0;15.0;14.0;570
29/01/2024;216.0;426.0;22.0;44.0;708
30/01/2024;163.0;325.0;13.0;29.0;530
31/01/2024;137.0;242.0;9.0;22.0;410
01/02/2024;179.0;345.0;11.0;33.0;568
02/02/2024;254.0;522.0;23.0;36.0;835
03/02/2024;254.0;460.0;0.0;31.0;745
04/02/2024;235.0;353.0;5.0;27.0;620
05/02/2024;174.0;340.0;0.0;26.0;540
06/02/2024;166.0;282.0;6.0;26.0;480
07/02/2024;208.0;405.0;8.0;38.0;659
08/02/2024;132.0;228.0;1.0;24.0;385
09/02/2024;189.0;385.0;0.0;36.0;610
10/02/2024;165.0;269.0;11.0;10.0;455
11/02/2024;208.0;376.0;21.0;22.0;627
12/02/2024;169.0;343.0;14.0;24.0;550
13/02/2024;167.0;335.0;1.0;37.0;540
14/02/2024;192.0;376.0;2.0;35.0;605
15/02/2024;193.0;323.0;9.0;30.0;555
16/02/2024;189.0;394.0;3.0;34.0;620
17/02/2024;253.0;392.0;0.0;25.0;670
18/02/2024;242.0;425.0;17.0;21.0;705
19/02/2024;143.0;274.0;9.0;18.0;444
20/02/2024;167.0;336.0;0.0;23.0;526
21/02/2024;128.0;259.0;7.0;25.0;419
22/02/2024;153.0;275.0;2.0;28.0;458
23/02/2024;140.0;298.0;0.0;32.0;470
24/02/2024;146.0;258.0;20.0;16.0;440
25/02/2024;229.0;355.0;6.0;27.0;617
